escalar,a0,cos1,sin1,cos2,sin2,beta_p180,dj_min,dj_max,fora_janela_pct,p180_min,p180_max,lfmc_min,lfmc_max,n,rmse_cv_pp,grupos,nota
herbaceo,-101.9798,-195.9519,-37.9407,-66.9916,-61.7614,0.077718,122,272,128.9,227,1486,9,254,125,32.5,Herbáceas,"inicio no 1o mes com n>=15 (meses densos: 5,6,7,8); fim no ultimo dado"
lenhoso,84.6538,13.1909,11.8008,3.8432,-6.0341,0.057289,66,351,130.7,137,1512,20,235,654,27.5,Matos atlânticos|Matos mediterrânicos,"inicio no 1o mes com n>=15 (meses densos: 3,4,5,6,7,8,9,10); fim no ultimo dado"
