data,ano,mes,dia_juliano,hora,nucleo_sub_regional,local_recolha,especie,grupo,hcv,hcv_pct,t_ar_c,hr_pct,qa_flags
2019-09-02,2019,9,245,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.73,73.0,,,
2019-09-02,2019,9,245,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.19,119.0,,,
2019-09-04,2019,9,247,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Tojo,Matos atlânticos,0.74,74.0,,,
2019-09-04,2019,9,247,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Esteva,Matos mediterrânicos,0.84,84.0,,,
2019-09-05,2019,9,248,,Médio Tejo e Lezíria do tejo,Santarém,Tojo,Matos atlânticos,0.83,83.0,,,
2019-09-05,2019,9,248,,Médio Tejo e Lezíria do tejo,Santarém,P. bravo,Pinhais,1.51,151.0,,,
2019-09-10,2019,9,253,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.67,67.0,,,
2019-09-10,2019,9,253,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.2,120.0,,,
2019-09-10,2019,9,253,,Alto Minho e Cávado,Ponte de Lima,Tojo,Matos atlânticos,1.34,134.0,,,
2019-09-10,2019,9,253,,Alto Minho e Cávado,Ponte de Lima,Giesta,Giestais,1.36,136.0,,,
2019-09-11,2019,9,254,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Tojo,Matos atlânticos,0.63,63.0,,,
2019-09-11,2019,9,254,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Esteva,Matos mediterrânicos,0.86,86.0,,,
2019-09-11,2019,9,254,,Douro,Vila Real,Urze,Matos atlânticos,0.86,86.0,,,
2019-09-11,2019,9,254,,Douro,Vila Real,Carqueja,Matos atlânticos,0.67,67.0,,,
2019-09-23,2019,9,266,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.85,85.0,,,
2019-09-23,2019,9,266,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.25,125.0,,,
2019-09-23,2019,9,266,,"Aveiro, Viseu e Dão Lafões",Castro d'Aire,Urze,Matos atlânticos,0.82,82.0,,,
2019-09-23,2019,9,266,,"Aveiro, Viseu e Dão Lafões",Castro d'Aire,Carqueja,Matos atlânticos,0.8,80.0,,,
2019-09-25,2019,9,268,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Tojo,Matos atlânticos,0.75,75.0,,,
2019-09-25,2019,9,268,,Alto Tâmega e Terra de Trás-os-Montes,Bragança,Esteva,Matos mediterrânicos,1.07,107.0,,,
2019-09-25,2019,9,268,,Douro,Vila Real,Urze,Matos atlânticos,0.92,92.0,,,
2019-09-25,2019,9,268,,Douro,Vila Real,Carqueja,Matos atlânticos,0.87,87.0,,,
2019-10-08,2019,10,281,,Douro,Vila Real,Urze,Matos atlânticos,0.79,79.0,,,
2019-10-08,2019,10,281,,Douro,Vila Real,Carqueja,Matos atlânticos,0.75,75.0,,,
2019-10-09,2019,10,282,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.78,78.0,,,
2019-10-09,2019,10,282,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.27,127.0,,,
2019-10-22,2019,10,295,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,0.95,95.0,,,
2019-10-22,2019,10,295,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.19,119.0,,,
2019-10-25,2019,10,298,,Douro,Vila Real,Urze,Matos atlânticos,0.84,84.0,,,
2019-10-25,2019,10,298,,Douro,Vila Real,Carqueja,Matos atlânticos,0.95,95.0,,,
2019-11-13,2019,11,317,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,Esteva,Matos mediterrânicos,1.14,114.0,,,
2019-11-13,2019,11,317,,"Beira Baixa, Beiras e Serra da Estrela",Castelo Branco,P. bravo,Pinhais,1.24,124.0,,,
2020-02-18,2020,2,49,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,1.4,140.0,14.4,49.0,
2020-02-18,2020,2,49,15:15,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,1.21,121.0,14.4,49.0,
2020-02-26,2020,2,57,14:48,Douro,Lamares - Vila Real,Carqueja,Matos atlânticos,1.14,114.0,10.9,57.0,
2020-02-26,2020,2,57,15:03,Douro,Lamares - Vila Real,Urze,Matos atlânticos,0.86,86.0,10.9,57.0,
2020-03-10,2020,3,70,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,1.5,150.0,21.8,38.0,
2020-03-10,2020,3,70,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Urze,Matos atlânticos,1.13,113.0,21.8,38.0,
2020-03-10,2020,3,70,14:30,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,1.06,106.0,21.8,38.0,
2020-05-25,2020,5,146,14:26,Douro,Lamares - Vila Real,Carqueja,Matos atlânticos,1.7,170.0,27.9,32.7,
2020-05-25,2020,5,146,14:26,Douro,Lamares - Vila Real,Urze,Matos atlânticos,1.57,157.0,27.9,32.7,
2020-05-25,2020,5,146,14:26,Douro,Lamares - Vila Real,Herbáceas,Herbáceas,1.61,161.0,27.9,32.7,
2020-05-25,2020,5,146,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,1.33,133.0,29.5,43.0,
2020-05-25,2020,5,146,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Urze,Matos atlânticos,0.97,97.0,29.5,43.0,
2020-05-25,2020,5,146,14:30,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,1.44,144.0,29.5,43.0,
2020-06-06,2020,6,158,14:15,Médio Tejo e Lezíria do tejo,Santarém,Tojo,Matos atlânticos,1.05,105.0,35.1,38.0,
2020-06-06,2020,6,158,14:15,Médio Tejo e Lezíria do tejo,Santarém,P. bravo,Pinhais,1.49,149.0,35.1,37.7,
2020-06-06,2020,6,158,14:15,Médio Tejo e Lezíria do tejo,Santarém,Herbáceas,Herbáceas,0.27,27.0,35.1,38.0,
2020-06-08,2020,6,160,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,1.13,113.0,24.0,36.0,
2020-06-08,2020,6,160,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Urze,Matos atlânticos,0.8,80.0,24.0,36.0,
2020-06-08,2020,6,160,14:30,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,1.3,130.0,24.0,36.0,
2020-06-18,2020,6,170,15:00,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Carqueja,Matos atlânticos,0.96,96.0,25.7,39.0,
2020-06-18,2020,6,170,15:00,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Urze,Matos atlânticos,0.86,86.0,25.7,39.0,
2020-06-18,2020,6,170,15:00,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,P. bravo,Pinhais,1.79,179.0,25.7,39.0,
2020-06-18,2020,6,170,15:00,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Giesta,Giestais,1.72,172.0,25.7,39.0,
2020-06-18,2020,6,170,14:35,Douro,Lamares - Vila Real,Carqueja,Matos atlânticos,1.62,162.0,22.7,45.4,
2020-06-18,2020,6,170,14:35,Douro,Lamares - Vila Real,Urze,Matos atlânticos,1.33,133.0,22.7,45.4,
2020-06-18,2020,6,170,14:35,Douro,Lamares - Vila Real,Herbáceas,Herbáceas,1.18,118.0,22.7,45.4,
2020-06-18,2020,6,170,14:25,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Esteva,Matos mediterrânicos,1.19,119.0,24.0,31.0,
2020-06-18,2020,6,170,14:25,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Tojo,Matos atlânticos,1.67,167.0,24.0,31.0,
2020-06-22,2020,6,174,,Algarve,Faro,Esteva,Matos mediterrânicos,0.561,56.1,,,
2020-06-23,2020,6,175,14:00,Alto Minho e Cávado,Vile - Caminha,Carqueja,Matos atlânticos,1.02,102.0,28.2,47.0,
2020-06-23,2020,6,175,14:00,Alto Minho e Cávado,Vile - Caminha,Herbáceas,Herbáceas,1.26,126.0,28.2,47.0,
2020-06-23,2020,6,175,14:00,Alto Minho e Cávado,Vile - Caminha,Urze,Matos atlânticos,0.88,88.0,28.2,47.0,
2020-06-24,2020,6,176,15:00,Alto Minho e Cávado,Vile - Caminha,Tojo,Matos atlânticos,1.47,147.0,28.2,47.0,
2020-06-24,2020,6,176,14:15,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,1.24,124.0,31.0,38.0,
2020-06-24,2020,6,176,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,0.99,99.0,31.0,38.0,
2020-06-24,2020,6,176,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Urze,Matos atlânticos,0.74,74.0,31.0,38.0,
2020-06-25,2020,6,177,15:00,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Carqueja,Matos atlânticos,1.038,103.8,27.5,42.0,
2020-06-25,2020,6,177,15:00,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Urze,Matos atlânticos,1.04,104.0,27.5,42.0,
2020-06-25,2020,6,177,12:00,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Herbáceas,Herbáceas,1.769,176.9,27.5,42.0,
2020-06-29,2020,6,181,14:30,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Carqueja,Matos atlânticos,0.96,96.0,,,
2020-06-29,2020,6,181,14:30,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Urze,Matos atlânticos,0.88,88.0,,,
2020-06-29,2020,6,181,14:30,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,P. bravo,Pinhais,1.81,181.0,,,
2020-06-29,2020,6,181,14:15,Douro,Lamares - Vila Real,Carqueja,Matos atlânticos,1.3,130.0,32.1,26.0,
2020-06-29,2020,6,181,14:15,Douro,Lamares - Vila Real,Urze,Matos atlânticos,1.11,111.0,32.1,26.0,
2020-06-29,2020,6,181,14:15,Douro,Lamares - Vila Real,Herbáceas,Herbáceas,1.02,102.0,32.1,26.0,
2020-06-29,2020,6,181,14:00,"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,Esteva,Matos mediterrânicos,0.9677,96.77,34.3,22.0,
2020-06-29,2020,6,181,14:05,"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,Giesta,Giestais,0.9375,93.75,34.3,22.0,
2020-06-30,2020,6,182,13:00,AML e Alentejo Litoral,Arrábida - Setúbal,Esteva,Matos mediterrânicos,1.124,112.4,,,
2020-06-30,2020,6,182,13:30,AML e Alentejo Litoral,Arrábida - Setúbal,Carrasco,Matos mediterrânicos,1.644,164.4,,,
2020-06-30,2020,6,182,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.197,119.7,,,
2020-06-30,2020,6,182,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.16,116.0,,,
2020-06-30,2020,6,182,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.635,163.5,,,
2020-06-30,2020,6,182,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.628,162.8,,,
2020-06-30,2020,6,182,12:30,AML e Alentejo Litoral,Ouressa - Sintra,Urze,Matos atlânticos,1.1354,113.54,,,
2020-06-30,2020,6,182,12:30,AML e Alentejo Litoral,Ouressa - Sintra,Tojo,Matos atlânticos,1.587,158.7,,,
2020-07-01,2020,7,183,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.207,120.7,,,
2020-07-01,2020,7,183,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.384,138.4,,,
2020-07-01,2020,7,183,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.696,169.6,,,
2020-07-01,2020,7,183,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.755,175.5,,,
2020-07-01,2020,7,183,14:20,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Esteva,Matos mediterrânicos,1.07,107.0,28.0,37.0,
2020-07-01,2020,7,183,14:20,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Tojo,Matos atlânticos,1.23,123.0,28.0,37.0,
2020-07-02,2020,7,184,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,0.98,98.0,,,
2020-07-02,2020,7,184,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.61,161.0,,,
2020-07-02,2020,7,184,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.61,161.0,,,
2020-07-02,2020,7,184,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.62,162.0,,,
2020-07-03,2020,7,185,,Algarve,Faro,Esteva,Matos mediterrânicos,0.492,49.2,,,
2020-07-03,2020,7,185,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.07,107.0,,,
2020-07-03,2020,7,185,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.47,147.0,,,
2020-07-03,2020,7,185,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.64,164.0,,,
2020-07-03,2020,7,185,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.57,157.0,,,
2020-07-06,2020,7,188,13:17,AML e Alentejo Litoral,Arrábida - Setúbal,Esteva,Matos mediterrânicos,0.7759,77.59,,,
2020-07-06,2020,7,188,13:19,AML e Alentejo Litoral,Arrábida - Setúbal,Carrasco,Matos mediterrânicos,0.9976,99.76,,,
2020-07-06,2020,7,188,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.24,124.0,,,
2020-07-06,2020,7,188,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.185,118.5,,,
2020-07-06,2020,7,188,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.85,185.0,,,
2020-07-06,2020,7,188,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.34,134.0,,,
2020-07-06,2020,7,188,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.242,124.2,,,
2020-07-06,2020,7,188,14:30,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Carqueja,Matos atlânticos,0.967,96.7,40.0,18.7,
2020-07-06,2020,7,188,14:30,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Urze,Matos atlânticos,0.91,91.0,40.0,18.7,
2020-07-06,2020,7,188,14:30,"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,Herbáceas,Herbáceas,0.61,61.0,40.0,18.7,
2020-07-06,2020,7,188,14:17,Douro,Lamares - Vila Real,Carqueja,Matos atlânticos,1.3,130.0,32.2,37.4,
2020-07-06,2020,7,188,14:17,Douro,Lamares - Vila Real,Urze,Matos atlânticos,1.11,111.0,32.2,37.4,
2020-07-06,2020,7,188,14:17,Douro,Lamares - Vila Real,Herbáceas,Herbáceas,0.58,58.0,32.2,37.4,
2020-07-06,2020,7,188,14:29,AML e Alentejo Litoral,Ouressa - Sintra,Urze,Matos atlânticos,0.9368,93.68,,,
2020-07-06,2020,7,188,14:30,AML e Alentejo Litoral,Ouressa - Sintra,Tojo,Matos atlânticos,0.983,98.3,,,
2020-07-06,2020,7,188,14:05,"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,Esteva,Matos mediterrânicos,0.9014,90.14,38.6,12.4,
2020-07-06,2020,7,188,14:10,"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,Giesta,Giestais,0.9119,91.19,38.6,12.4,
2020-07-07,2020,7,189,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.23,123.0,,,
2020-07-07,2020,7,189,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.08,108.0,,,
2020-07-07,2020,7,189,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.595,159.5,,,
