nucleo_sub_regional,local_recolha,data,hora,t_ar_c,hr_pct,especie,grupo,hcv
Douro,Vila Real,2019-10-08,,,,Carqueja,Matos atlânticos,0.75
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-10-09,,,,Esteva,Matos mediterrânicos,0.78
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-10-09,,,,P. bravo,Pinhais,1.27
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-10-22,,,,Esteva,Matos mediterrânicos,0.95
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-10-22,,,,P. bravo,Pinhais,1.19
Douro,Vila Real,2019-10-25,,,,Urze,Matos atlânticos,0.84
Douro,Vila Real,2019-10-25,,,,Carqueja,Matos atlânticos,0.95
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-11-13,,,,Esteva,Matos mediterrânicos,1.14
"Beira Baixa, Beiras e Serra da Estrela",Castelo branco,2019-11-13,,,,P. bravo,Pinhais,1.24
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-02-18,14:45,14.4,49.0,Esteva,Matos mediterrânicos,1.4
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-02-18,15:15,14.4,49.0,P. bravo,Pinhais,1.21
Douro,Lamares - Vila Real,2020-02-26,14:48,10.9,57.0,Carqueja,Matos atlânticos,1.14
Douro,Lamares - Vila Real,2020-02-26,15:03,10.9,57.0,Urze,Matos atlânticos,0.86
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-03-10,14:45,21.8,38.0,Esteva,Matos mediterrânicos,1.5
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-03-10,14:45,21.8,38.0,Urze,Matos atlânticos,1.13
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-03-10,14:30,21.8,38.0,P. bravo,Pinhais,1.06
Douro,Lamares - Vila Real,2020-05-25,14:26,27.9,32.7,Carqueja,Matos atlânticos,1.7
Douro,Lamares - Vila Real,2020-05-25,14:26,27.9,32.7,Urze,Matos atlânticos,1.57
Douro,Lamares - Vila Real,2020-05-25,14:26,27.9,32.7,Herbáceas,Herbáceas,1.61
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-05-25,14:45,29.5,43.0,Esteva,Matos mediterrânicos,1.33
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-05-25,14:45,29.5,43.0,Urze,Matos atlânticos,0.97
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-05-25,14:30,29.5,43.0,P. bravo,Pinhais,1.44
Médio Tejo e Lezíria do tejo,Santarém,2020-06-06,14:15,35.1,38.0,Tojo,Matos atlânticos,1.05
Médio Tejo e Lezíria do tejo,Santarém,2020-06-06,14:15,35.1,37.7,P. bravo,Pinhais,1.49
Médio Tejo e Lezíria do tejo,Santarém,2020-06-06,14:15,35.1,38.0,Herbáceas,Herbáceas,0.27
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-06-08,14:45,24.0,36.0,Esteva,Matos mediterrânicos,1.13
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-06-08,14:45,24.0,36.0,Urze,Matos atlânticos,0.8
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-06-08,14:30,24.0,36.0,P. bravo,Pinhais,1.3
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-18,15:00,25.7,39.0,Carqueja,Matos atlânticos,0.96
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-18,15:00,25.7,39.0,Urze,Matos atlânticos,0.86
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-18,15:00,25.7,39.0,P. bravo,Pinhais,1.79
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-18,15:00,25.7,39.0,Giesta,Giestais,1.72
Douro,Lamares - Vila Real,2020-06-18,14:35,22.7,45.4,Carqueja,Matos atlânticos,1.62
Douro,Lamares - Vila Real,2020-06-18,14:35,22.7,45.4,Urze,Matos atlânticos,1.33
Douro,Lamares - Vila Real,2020-06-18,14:35,22.7,45.4,Herbáceas,Herbáceas,1.18
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-06-18,14:25,24.0,31.0,Esteva,Matos mediterrânicos,1.19
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-06-18,14:25,24.0,31.0,Tojo,Matos atlânticos,1.67
Algarve,Faro,2020-06-22,,,,Esteva,Matos mediterrânicos,0.561
Alto Minho e Cávado,Vile - Caminha,2020-06-23,14:00,28.2,47.0,Carqueja,Matos atlânticos,1.02
Alto Minho e Cávado,Vile - Caminha,2020-06-23,14:00,28.2,47.0,Herbáceas,Herbáceas,1.26
Alto Minho e Cávado,Vile - Caminha,2020-06-23,14:00,28.2,47.0,Urze,Matos atlânticos,0.88
Alto Minho e Cávado,Vile - Caminha,2020-06-24,15:00,28.2,47.0,Tojo,Matos atlânticos,1.47
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-06-24,14:15,31.0,38.0,P. bravo,Pinhais,1.24
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-06-24,14:45,31.0,38.0,Esteva,Matos mediterrânicos,0.99
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-06-24,14:45,31.0,38.0,Urze,Matos atlânticos,0.74
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-06-25,15:00,27.5,42.0,Carqueja,Matos atlânticos,1.038
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-06-25,15:00,27.5,42.0,Urze,Matos atlânticos,1.04
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-06-25,12:00,27.5,42.0,Herbáceas,Herbáceas,1.769
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-29,14:30,,,Carqueja,Matos atlânticos,0.96
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-29,14:30,,,Urze,Matos atlânticos,0.88
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-06-29,14:30,,,P. bravo,Pinhais,1.81
Douro,Lamares - Vila Real,2020-06-29,14:15,32.1,26.0,Carqueja,Matos atlânticos,1.3
Douro,Lamares - Vila Real,2020-06-29,14:15,32.1,26.0,Urze,Matos atlânticos,1.11
Douro,Lamares - Vila Real,2020-06-29,14:15,32.1,26.0,Herbáceas,Herbáceas,1.02
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-06-29,14:00,34.3,22.0,Esteva,Matos mediterrânicos,0.9677
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-06-29,14:05,34.3,22.0,Giesta,Giestais,0.9375
AML e Alentejo Litoral,Arrábida - Setúbal,2020-06-30,13:00,,,Esteva,Matos mediterrânicos,1.124
AML e Alentejo Litoral,Arrábida - Setúbal,2020-06-30,13:30,,,Carrasco,Matos mediterrânicos,1.644
"Aveiro, Viseu e Dão Lafões",Viseu,2020-06-30,,,,Urze,Matos atlânticos,1.197
"Aveiro, Viseu e Dão Lafões",Viseu,2020-06-30,,,,Tojo,Matos atlânticos,1.16
"Aveiro, Viseu e Dão Lafões",Viseu,2020-06-30,,,,Eucalipto,Outro,1.635
"Aveiro, Viseu e Dão Lafões",Viseu,2020-06-30,,,,P. bravo,Pinhais,1.628
AML e Alentejo Litoral,Ouressa - Sintra,2020-06-30,12:30,,,Urze,Matos atlânticos,1.1354
AML e Alentejo Litoral,Ouressa - Sintra,2020-06-30,12:30,,,Tojo,Matos atlânticos,1.587
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-01,,,,Urze,Matos atlânticos,1.207
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-01,,,,Tojo,Matos atlânticos,1.384
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-01,,,,Eucalipto,Outro,1.696
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-01,,,,P. bravo,Pinhais,1.755
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-01,14:20,28.0,37.0,Esteva,Matos mediterrânicos,1.07
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-01,14:20,28.0,37.0,Tojo,Matos atlânticos,1.23
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-02,,,,Urze,Matos atlânticos,0.98
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-02,,,,Tojo,Matos atlânticos,1.61
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-02,,,,Eucalipto,Outro,1.61
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-02,,,,P. bravo,Pinhais,1.62
Algarve,Faro,2020-07-03,,,,Esteva,Matos mediterrânicos,0.492
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-03,,,,Urze,Matos atlânticos,1.07
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-03,,,,Tojo,Matos atlânticos,1.47
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-03,,,,Eucalipto,Outro,1.64
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-03,,,,P. bravo,Pinhais,1.57
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-06,13:17,,,Esteva,Matos mediterrânicos,0.7759
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-06,13:19,,,Carrasco,Matos mediterrânicos,0.9976
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-06,,,,Urze,Matos atlânticos,1.24
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-06,,,,Tojo,Matos atlânticos,1.185
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-06,,,,Eucalipto,Outro,1.85
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-06,,,,P. bravo,Pinhais,1.34
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-06,,,,Urze,Matos atlânticos,1.242
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-06,14:30,40.0,18.7,Carqueja,Matos atlânticos,0.967
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-06,14:30,40.0,18.7,Urze,Matos atlânticos,0.91
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-06,14:30,40.0,18.7,Herbáceas,Herbáceas,0.61
Douro,Lamares - Vila Real,2020-07-06,14:17,32.2,37.4,Carqueja,Matos atlânticos,1.3
Douro,Lamares - Vila Real,2020-07-06,14:17,32.2,37.4,Urze,Matos atlânticos,1.11
Douro,Lamares - Vila Real,2020-07-06,14:17,32.2,37.4,Herbáceas,Herbáceas,0.58
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-06,14:29,,,Urze,Matos atlânticos,0.9368
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-06,14:30,,,Tojo,Matos atlânticos,0.983
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-06,14:05,38.6,12.4,Esteva,Matos mediterrânicos,0.9014
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-06,14:10,38.6,12.4,Giesta,Giestais,0.9119
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-07,,,,Urze,Matos atlânticos,1.23
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-07,,,,Tojo,Matos atlânticos,1.08
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-07,,,,Eucalipto,Outro,1.595
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-07,,,,P. bravo,Pinhais,1.187
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-07,,,,P. bravo,Pinhais,1.187
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-07,14:10,32.6,28.0,Carqueja,Matos atlânticos,0.77
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-07,14:10,32.6,28.0,Urze,Matos atlânticos,0.86
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-07,14:10,32.6,28.0,P. bravo,Pinhais,1.38
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-07,14:30,,,Esteva,Matos mediterrânicos,1.0
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-07,14:30,,,Tojo,Matos atlânticos,1.2
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-08,,,,Urze,Matos atlânticos,0.93
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-08,,,,Tojo,Matos atlânticos,1.375
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-08,,,,Eucalipto,Outro,1.87
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-08,,,,P. bravo,Pinhais,1.27
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Carqueja,Matos atlânticos,1.14
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Urze,Matos atlânticos,1.204
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Tojo,Matos atlânticos,1.882
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Herbáceas,Herbáceas,0.893
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Carqueja,Matos atlânticos,1.14
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Urze,Matos atlânticos,1.2
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Tojo,Matos atlânticos,1.88
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-08,14:00,23.2,64.6,Herbáceas,Herbáceas,0.89
Alto Minho e Cávado,Vile - Caminha,2020-07-08,14:00,27.1,54.0,Carqueja,Matos atlânticos,0.85
Alto Minho e Cávado,Vile - Caminha,2020-07-08,14:00,27.1,54.0,Herbáceas,Herbáceas,0.75
Alto Minho e Cávado,Vile - Caminha,2020-07-08,14:00,27.1,54.0,Urze,Matos atlânticos,0.91
Alto Minho e Cávado,Vile - Caminha,2020-07-08,15:00,27.1,54.0,Tojo,Matos atlânticos,1.39
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-07-08,14:15,37.6,29.0,P. bravo,Pinhais,0.62
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-07-08,14:45,34.9,24.0,Esteva,Matos mediterrânicos,0.74
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-07-08,14:45,34.9,24.0,Urze,Matos atlânticos,0.49
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-09,,,,Urze,Matos atlânticos,1.18
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-09,,,,Tojo,Matos atlânticos,1.55
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-09,,,,Eucalipto,Outro,1.8
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-09,,,,P. bravo,Pinhais,1.49
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-10,,,,Urze,Matos atlânticos,0.93
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-10,,,,Tojo,Matos atlânticos,1.23
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-10,,,,Eucalipto,Outro,1.55
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-10,,,,P. bravo,Pinhais,1.71
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-13,15:15,34.7,30.0,Urze,Matos atlânticos,0.93
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-13,15:15,34.7,30.0,Carqueja,Matos atlânticos,0.89
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-13,15:15,34.7,30.0,P. bravo,Pinhais,2.02
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-13,12:30,,,Carrasco,Matos mediterrânicos,0.2
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-13,12:30,,,Esteva,Matos mediterrânicos,0.856
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-13,14:15,29.4,37.0,Urze,Matos atlânticos,0.78
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-13,14:15,29.4,37.0,Carqueja,Matos atlânticos,0.74
Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,2020-07-13,14:15,29.4,37.0,P. bravo,Pinhais,1.53
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-13,14:15,38.8,26.0,Esteva,Matos mediterrânicos,0.84
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-13,14:15,38.8,26.0,Tojo,Matos atlânticos,0.94
Algarve,Faro,2020-07-13,,,,Esteva,Matos mediterrânicos,0.55
Alto Minho e Cávado,Ponte de Lima,2020-07-13,,,,P. bravo,Pinhais,1.804
Alto Minho e Cávado,Ponte de Lima,2020-07-13,,,,Eucalipto,Outro,1.61
Alto Minho e Cávado,Ponte de Lima,2020-07-13,,,,Urze,Matos atlânticos,1.049
Alto Minho e Cávado,Ponte de Lima,2020-07-13,,,,Tojo,Matos atlânticos,1.953
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-13,,,,P. bravo,Pinhais,1.33
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-13,,,,Eucalipto,Outro,1.64
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-13,,,,Urze,Matos atlânticos,1.06
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-13,,,,Tojo,Matos atlânticos,1.07
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-13,14:30,28.9,47.6,Carqueja,Matos atlânticos,1.15
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-13,14:30,28.9,47.6,Urze,Matos atlânticos,1.14
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-13,14:30,28.9,47.6,Tojo,Matos atlânticos,1.31
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-13,14:30,28.9,47.6,Herbáceas,Herbáceas,0.89
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-13,14:25,31.5,34.7,Carqueja,Matos atlânticos,0.91
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-13,14:25,31.5,34.7,Urze,Matos atlânticos,0.95
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-13,14:25,31.5,34.7,Herbáceas,Herbáceas,0.45
Douro,Lamares - Vila Real,2020-07-13,14:36,31.6,38.3,Carqueja,Matos atlânticos,0.88
Douro,Lamares - Vila Real,2020-07-13,14:36,31.6,38.3,Urze,Matos atlânticos,0.93
Douro,Lamares - Vila Real,2020-07-13,14:36,31.6,38.3,Herbáceas,Herbáceas,0.59
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-13,14:00,32.0,44.7,Urze,Matos atlânticos,0.257
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-13,14:00,32.0,44.7,Tojo,Matos atlânticos,1.184
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-13,14:25,40.0,21.9,Esteva,Matos mediterrânicos,0.882
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-13,14:25,40.0,21.9,Giesta,Giestais,1.039
Médio Tejo e Lezíria do tejo,Santarém,2020-07-13,14:45,39.5,27.1,Tojo,Matos atlânticos,0.89
Médio Tejo e Lezíria do tejo,Santarém,2020-07-13,14:45,39.5,27.0,P. bravo,Pinhais,1.75
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-14,,,,P. bravo,Pinhais,1.66
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-14,,,,Eucalipto,Outro,1.75
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-14,,,,Urze,Matos atlânticos,1.01
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-14,,,,Tojo,Matos atlânticos,1.27
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-15,,,,P. bravo,Pinhais,1.31
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-15,,,,Eucalipto,Outro,1.24
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-15,,,,Urze,Matos atlânticos,0.84
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-15,,,,Tojo,Matos atlânticos,1.39
Alto Minho e Cávado,Vile - Caminha,2020-07-15,14:00,28.4,38.4,Carqueja,Matos atlânticos,0.83
Alto Minho e Cávado,Vile - Caminha,2020-07-15,14:00,28.4,38.4,Herbáceas,Herbáceas,0.52
Alto Minho e Cávado,Vile - Caminha,2020-07-15,14:00,28.4,38.0,Urze,Matos atlânticos,0.74
Alto Minho e Cávado,Vile - Caminha,2020-07-15,14:00,28.4,38.0,Tojo,Matos atlânticos,1.36
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-16,,,,P. bravo,Pinhais,1.72
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-16,,,,Eucalipto,Outro,1.69
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-16,,,,Urze,Matos atlânticos,0.98
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-16,,,,Tojo,Matos atlânticos,1.41
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-16,14:20,33.1,27.1,Esteva,Matos mediterrânicos,1.24
Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,2020-07-16,14:20,33.1,27.1,Tojo,Matos atlânticos,1.22
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-17,,,,P. bravo,Pinhais,1.46
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-17,,,,Eucalipto,Outro,1.27
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-17,,,,Urze,Matos atlânticos,1.17
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-17,,,,Tojo,Matos atlânticos,1.35
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-20,14:27,32.9,28.0,Urze,Matos atlânticos,0.93
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-20,14:27,32.9,28.0,Carqueja,Matos atlânticos,0.84
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-20,14:27,32.9,28.0,P. bravo,Pinhais,1.9
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-20,13:50,33.0,40.0,Carrasco,Matos mediterrânicos,0.2097
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-20,13:50,33.0,40.0,Esteva,Matos mediterrânicos,0.802
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-20,14:00,33.3,28.5,Esteva,Matos mediterrânicos,0.86
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-20,14:oo,33.3,28.5,Tojo,Matos atlânticos,0.84
Algarve,Faro,2020-07-20,,,,Esteva,Matos mediterrânicos,0.468
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-20,14:00,26.7,38.9,Carqueja,Matos atlânticos,0.948
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-20,14:00,26.7,38.9,Urze,Matos atlânticos,0.864
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-20,14:00,26.7,38.9,Tojo,Matos atlânticos,1.118
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-20,14:00,26.7,38.9,Herbáceas,Herbáceas,0.66
"Aveiro, Viseu e Dão Lafões",,2020-07-20,,,,Urze,Matos atlânticos,1.04
"Aveiro, Viseu e Dão Lafões",,2020-07-20,,,,Tojo,Matos atlânticos,1.17
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-20,14:45,36.6,19.0,Carqueja,Matos atlânticos,0.901
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-20,14:45,36.6,19.0,Urze,Matos atlânticos,0.992
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-20,14:45,36.6,19.0,Herbáceas,Herbáceas,0.556
Douro,Lamares - Vila Real,2020-07-20,14:20,36.2,27.6,Carqueja,Matos atlânticos,1.04
Douro,Lamares - Vila Real,2020-07-20,14:20,36.2,27.6,Urze,Matos atlânticos,1.15
Douro,Lamares - Vila Real,2020-07-20,14:20,36.2,27.6,Herbáceas,Herbáceas,0.49
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-20,15:00,29.4,43.7,Urze,Matos atlânticos,0.2413
AML e Alentejo Litoral,Ouressa - Sintra,2020-07-20,15:00,29.4,43.7,Tojo,Matos atlânticos,1.19
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-20,14:10,38.3,18.0,Esteva,Matos mediterrânicos,0.809
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-20,14:10,38.3,18.0,Giesta,Giestais,0.841
Médio Tejo e Lezíria do tejo,Santarém,2020-07-20,14:30,34.0,33.6,Tojo,Matos atlânticos,0.86
Médio Tejo e Lezíria do tejo,Santarém,2020-07-20,14:30,34.0,33.6,P. bravo,Pinhais,1.63
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-21,,,,Urze,Matos atlânticos,0.58
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-21,,,,Tojo,Matos atlânticos,1.13
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-21,,,,P. bravo,Pinhais,1.314
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-21,,,,Eucalipto,Outro,1.4
Alto Minho e Cávado,Vile - Caminha,2020-07-21,14:00,32.0,41.0,Carqueja,Matos atlânticos,0.79
Alto Minho e Cávado,Vile - Caminha,2020-07-21,14:00,32.0,41.0,Herbáceas,Herbáceas,0.41
Alto Minho e Cávado,Vile - Caminha,2020-07-21,14:00,32.0,41.0,Urze,Matos atlânticos,0.74
Alto Minho e Cávado,Vile - Caminha,2020-07-21,14:00,32.0,41.0,Tojo,Matos atlânticos,1.48
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-07-22,14:52,33.5,28.6,Esteva,Matos mediterrânicos,0.85
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-07-22,14:52,33.5,28.6,Tojo,Matos atlânticos,0.78
Algarve,Faro,2020-07-22,,,,Esteva,Matos mediterrânicos,0.527
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-22,,,,Urze,Matos atlânticos,1.034
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-22,,,,Tojo,Matos atlânticos,1.23
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-22,,,,P. bravo,Pinhais,1.38
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-22,,,,Eucalipto,Outro,1.68
Alto Minho e Cávado,Ponte de Lima,2020-07-23,,,,P. bravo,Pinhais,1.732
Alto Minho e Cávado,Ponte de Lima,2020-07-23,,,,Eucalipto,Outro,1.372
Alto Minho e Cávado,Ponte de Lima,2020-07-23,,,,Urze,Matos atlânticos,0.978
Alto Minho e Cávado,Ponte de Lima,2020-07-23,,,,Tojo,Matos atlânticos,1.678
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-23,,,,Urze,Matos atlânticos,0.76
